Hero,Stat Context Type,Stat Context Name,Stat,Amount
Reaper,Unranked,,Eliminations,28.0
Reaper,Unranked,,Time Played,1263.547759
Reaper,Unranked,,Eliminations - Most in Life,5.0
Reaper,Unranked,,Most Score within one Life,342.05908
Reaper,Unranked,,Deaths,22.0
Reaper,Unranked,,Final Blows,13.0
Reaper,Unranked,,Solo Kills,3.0
Reaper,Unranked,,All Damage Done - Most in Life,1500.2534289999999
Reaper,Unranked,,Games Played,2.109547
Reaper,Unranked,,Games Won,0.9374110000000001
Reaper,Unranked,,Death Blossom Kills,2.0
Reaper,Unranked,,Score,1735.4924059999998
Reaper,Unranked,,Weapon Accuracy - Best in Game,0.180556
Reaper,Unranked,,All Damage Done,10007.272664
Reaper,Unranked,,Kill Streak - Best,5.0
Reaper,Unranked,,Death Blossom Kills - Most in Game,2.0
Reaper,Unranked,,All Damage Done - Most in Game,3776.6475189999996
Reaper,Unranked,,Eliminations - Most in Game,14.0
Reaper,Unranked,,Final Blows - Most in Game,7.0
Reaper,Unranked,,Objective Kills,9.0
Reaper,Unranked,,Objective Time,71.248003
Reaper,Unranked,,Objective Kills - Most in Game,4.0
Reaper,Unranked,,Objective Time - Most in Game,39.248002
Reaper,Unranked,,Solo Kills - Most in Game,3.0
Reaper,Unranked,,Medals - Bronze,2.942511
Reaper,Unranked,,Medals - Silver,1.60153
Reaper,Unranked,,Medals - Gold,0.19054200000000002
Reaper,Unranked,,Medals,4.734583
Reaper,Unranked,,Critical Hits,103.0
Reaper,Unranked,,Critical Hits - Most in Game,47.0
Reaper,Unranked,,Critical Hits - Most in Life,26.0
Reaper,Unranked,,Self Healing,730.384446
Reaper,Unranked,,Self Healing - Most in Game,238.13325600000002
Reaper,Unranked,,Hero Damage Done,5884.603523
Reaper,Unranked,,Hero Damage Done - Most in Game,2173.363319
Reaper,Unranked,,Hero Damage Done - Most in Life,951.6779369999999
Reaper,Unranked,,Barrier Damage Done,4053.2947200000003
Reaper,Unranked,,Barrier Damage Done - Most in Game,1603.2842
Reaper,Unranked,,Assists,15.0
Reaper,VS AI,,Eliminations,3.0
Reaper,VS AI,,Time Played,61.6085
Reaper,VS AI,,Eliminations - Most in Life,3.0
Reaper,VS AI,,Most Score within one Life,330.731502
Reaper,VS AI,,Deaths,1.0
Reaper,VS AI,,Final Blows,3.0
Reaper,VS AI,,Solo Kills,1.0
Reaper,VS AI,,All Damage Done - Most in Life,1368.305451
Reaper,VS AI,,Games Played,0.9844709999999999
Reaper,VS AI,,Score,330.731502
Reaper,VS AI,,Weapon Accuracy - Best in Game,0.275
Reaper,VS AI,,All Damage Done,1368.305451
Reaper,VS AI,,Kill Streak - Best,3.0
Reaper,VS AI,,All Damage Done - Most in Game,1368.305451
Reaper,VS AI,,Eliminations - Most in Game,3.0
Reaper,VS AI,,Final Blows - Most in Game,3.0
Reaper,VS AI,,Objective Kills,2.0
Reaper,VS AI,,Objective Time,20.432001
Reaper,VS AI,,Objective Kills - Most in Game,2.0
Reaper,VS AI,,Objective Time - Most in Game,20.432001
Reaper,VS AI,,Solo Kills - Most in Game,1.0
Reaper,VS AI,,Critical Hits,28.0
Reaper,VS AI,,Critical Hits - Most in Game,28.0
Reaper,VS AI,,Critical Hits - Most in Life,28.0
Reaper,VS AI,,Self Healing,214.110007
Reaper,VS AI,,Self Healing - Most in Game,214.110007
Reaper,VS AI,,Hero Damage Done,1368.305451
Reaper,VS AI,,Hero Damage Done - Most in Game,1368.305451
Reaper,VS AI,,Hero Damage Done - Most in Life,1368.305451
Reaper,Ruleset,Elimination,Eliminations,1.0
Reaper,Ruleset,Elimination,Time Played,172.06681
Reaper,Ruleset,Elimination,Eliminations - Most in Life,1.0
Reaper,Ruleset,Elimination,Most Score within one Life,53.43155
Reaper,Ruleset,Elimination,Deaths,2.0
Reaper,Ruleset,Elimination,Final Blows,1.0
Reaper,Ruleset,Elimination,All Damage Done - Most in Life,469.22502599999996
Reaper,Ruleset,Elimination,Games Played,0.618904
Reaper,Ruleset,Elimination,Score,53.541281000000005
Reaper,Ruleset,Elimination,Weapon Accuracy - Best in Game,0.12758599999999998
Reaper,Ruleset,Elimination,All Damage Done,503.42524699999996
Reaper,Ruleset,Elimination,Kill Streak - Best,1.0
Reaper,Ruleset,Elimination,All Damage Done - Most in Game,469.22502599999996
Reaper,Ruleset,Elimination,Eliminations - Most in Game,1.0
Reaper,Ruleset,Elimination,Final Blows - Most in Game,1.0
Reaper,Ruleset,Elimination,Medals - Bronze,0.34689899999999996
Reaper,Ruleset,Elimination,Medals - Silver,0.8909100000000001
Reaper,Ruleset,Elimination,Medals - Gold,0.618904
Reaper,Ruleset,Elimination,Medals,1.856713
Reaper,Ruleset,Elimination,Critical Hits,11.0
Reaper,Ruleset,Elimination,Critical Hits - Most in Game,10.0
Reaper,Ruleset,Elimination,Critical Hits - Most in Life,10.0
Reaper,Ruleset,Elimination,Self Healing,64.782
Reaper,Ruleset,Elimination,Self Healing - Most in Game,62.038716
Reaper,Ruleset,Elimination,Hero Damage Done,419.389683
Reaper,Ruleset,Elimination,Hero Damage Done - Most in Game,385.189461
Reaper,Ruleset,Elimination,Hero Damage Done - Most in Life,385.189461
Reaper,Ruleset,Elimination,Barrier Damage Done,84.03556400000001
Reaper,Ruleset,Elimination,Barrier Damage Done - Most in Game,84.03556400000001
Reaper,Ruleset,Mystery Heroes,Eliminations,230.0
Reaper,Ruleset,Mystery Heroes,Time Played,9042.180788
Reaper,Ruleset,Mystery Heroes,Eliminations - Most in Life,17.0
Reaper,Ruleset,Mystery Heroes,Most Score within one Life,1171.3302449999999
Reaper,Ruleset,Mystery Heroes,Deaths,108.0
Reaper,Ruleset,Mystery Heroes,Final Blows,123.0
Reaper,Ruleset,Mystery Heroes,Solo Kills,39.0
Reaper,Ruleset,Mystery Heroes,All Damage Done - Most in Life,3566.315451
Reaper,Ruleset,Mystery Heroes,Games Played,13.353347
Reaper,Ruleset,Mystery Heroes,Games Won,8.616394999999999
Reaper,Ruleset,Mystery Heroes,Death Blossom Kills,6.0
Reaper,Ruleset,Mystery Heroes,Score,15779.837084
Reaper,Ruleset,Mystery Heroes,Weapon Accuracy - Best in Game,0.85
Reaper,Ruleset,Mystery Heroes,All Damage Done,91825.24496499999
