Stat Context Type,Stat Context Name,Stat,Amount
Unranked,,Eliminations - Most in Game,40.0
Unranked,,Final Blows - Most in Game,22.0
Unranked,,All Damage Done - Most in Game,28993.267321
Unranked,,Healing Done - Most in Game,11582.72436
Unranked,,Defensive Assists - Most in Game,28.0
Unranked,,Offensive Assists - Most in Game,18.0
Unranked,,Objective Kills - Most in Game,28.0
Unranked,,Objective Time - Most in Game,347.430014
Unranked,,Multikill - Best,5.0
Unranked,,Solo Kills - Most in Game,22.0
Unranked,,Time Spent on Fire - Most in Game,518.343704
Unranked,,Melee Final Blows - Most in Game,3.0
Unranked,,Turrets Destroyed - Most in Game,13.0
Unranked,,Environmental Kills - Most in Game,4.0
Unranked,,Teleporter Pads Destroyed - Most in Game,3.0
Unranked,,Kill Streak - Best,40.0
Unranked,,Hero Damage Done - Most in Game,10974.43191
Unranked,,Barrier Damage Done - Most in Game,16828.835411
VS AI,,Eliminations - Most in Game,44.0
VS AI,,Final Blows - Most in Game,28.0
VS AI,,All Damage Done - Most in Game,9955.514423999999
VS AI,,Healing Done - Most in Game,3872.685707
VS AI,,Defensive Assists - Most in Game,33.0
VS AI,,Offensive Assists - Most in Game,14.0
VS AI,,Objective Kills - Most in Game,31.0
VS AI,,Objective Time - Most in Game,165.264001
VS AI,,Multikill - Best,4.0
VS AI,,Solo Kills - Most in Game,28.0
VS AI,,Time Spent on Fire - Most in Game,253.294873
VS AI,,Melee Final Blows - Most in Game,2.0
VS AI,,Turrets Destroyed - Most in Game,3.0
VS AI,,Kill Streak - Best,44.0
VS AI,,Hero Damage Done - Most in Game,8673.514423999999
VS AI,,Barrier Damage Done - Most in Game,2781.105988
Ruleset,CTF,Eliminations - Most in Game,17.0
Ruleset,CTF,Final Blows - Most in Game,13.0
Ruleset,CTF,All Damage Done - Most in Game,7972.427873999999
Ruleset,CTF,Healing Done - Most in Game,3424.0942609999997
Ruleset,CTF,Defensive Assists - Most in Game,2.0
Ruleset,CTF,Offensive Assists - Most in Game,7.0
Ruleset,CTF,Objective Kills - Most in Game,10.0
Ruleset,CTF,Objective Time - Most in Game,88.171003
Ruleset,CTF,Multikill - Best,3.0
Ruleset,CTF,Solo Kills - Most in Game,13.0
Ruleset,CTF,Time Spent on Fire - Most in Game,71.371423
Ruleset,CTF,Melee Final Blows - Most in Game,1.0
Ruleset,CTF,Turrets Destroyed - Most in Game,11.0
Ruleset,CTF,Environmental Kills - Most in Game,1.0
