Stat Context Type,Stat Context Name,Map,Stat,Amount
Unranked,,TEMPLE OF ANUBIS,Map Wins,53.0
Unranked,,TEMPLE OF ANUBIS,Map Enters,93.0
Unranked,,TEMPLE OF ANUBIS,Offense Wins,31.0
Unranked,,TEMPLE OF ANUBIS,Offense Enters,52.0
Unranked,,TEMPLE OF ANUBIS,Defense Wins,22.0
Unranked,,TEMPLE OF ANUBIS,Defense Enters,41.0
Unranked,,KING'S ROW,Map Wins,41.0
Unranked,,KING'S ROW,Map Enters,77.0
Unranked,,KING'S ROW,Game Leaves,2.0
Unranked,,KING'S ROW,Offense Wins,22.0
Unranked,,KING'S ROW,Offense Enters,38.0
Unranked,,KING'S ROW,Defense Wins,19.0
Unranked,,KING'S ROW,Defense Enters,39.0
Unranked,,KING'S ROW,Map Ties,2.0
Unranked,,HANAMURA,Map Wins,42.0
Unranked,,HANAMURA,Map Enters,79.0
Unranked,,HANAMURA,Game Leaves,3.0
Unranked,,HANAMURA,Offense Wins,18.0
Unranked,,HANAMURA,Offense Enters,38.0
Unranked,,HANAMURA,Defense Wins,24.0
Unranked,,HANAMURA,Defense Enters,41.0
Unranked,,HANAMURA,Map Ties,3.0
Unranked,,WATCHPOINT: GIBRALTAR,Map Wins,39.0
Unranked,,WATCHPOINT: GIBRALTAR,Map Enters,76.0
Unranked,,WATCHPOINT: GIBRALTAR,Game Leaves,1.0
Unranked,,WATCHPOINT: GIBRALTAR,Offense Wins,19.0
Unranked,,WATCHPOINT: GIBRALTAR,Offense Enters,37.0
Unranked,,WATCHPOINT: GIBRALTAR,Defense Wins,20.0
Unranked,,WATCHPOINT: GIBRALTAR,Defense Enters,39.0
Unranked,,WATCHPOINT: GIBRALTAR,Map Ties,1.0
Unranked,,NUMBANI,Map Wins,35.0
Unranked,,NUMBANI,Map Enters,81.0
Unranked,,NUMBANI,Game Leaves,2.0
Unranked,,NUMBANI,Offense Wins,22.0
Unranked,,NUMBANI,Offense Enters,41.0
Unranked,,NUMBANI,Defense Wins,13.0
Unranked,,NUMBANI,Defense Enters,40.0
Unranked,,NUMBANI,Map Ties,2.0
Unranked,,VOLSKAYA INDUSTRIES,Map Wins,47.0
Unranked,,VOLSKAYA INDUSTRIES,Map Enters,79.0
Unranked,,VOLSKAYA INDUSTRIES,Game Leaves,1.0
Unranked,,VOLSKAYA INDUSTRIES,Offense Wins,27.0
Unranked,,VOLSKAYA INDUSTRIES,Offense Enters,41.0
Unranked,,VOLSKAYA INDUSTRIES,Defense Wins,20.0
Unranked,,VOLSKAYA INDUSTRIES,Defense Enters,38.0
Unranked,,VOLSKAYA INDUSTRIES,Map Ties,1.0
Unranked,,Hollywood,Map Wins,40.0
Unranked,,Hollywood,Map Enters,77.0
Unranked,,Hollywood,Game Leaves,2.0
Unranked,,Hollywood,Offense Wins,18.0
Unranked,,Hollywood,Offense Enters,35.0
Unranked,,Hollywood,Defense Wins,22.0
Unranked,,Hollywood,Defense Enters,42.0
Unranked,,Hollywood,Map Ties,2.0
Unranked,,DORADO,Map Wins,34.0
Unranked,,DORADO,Map Enters,70.0
Unranked,,DORADO,Game Leaves,2.0
Unranked,,DORADO,Offense Wins,17.0
Unranked,,DORADO,Offense Enters,36.0
Unranked,,DORADO,Defense Wins,17.0
Unranked,,DORADO,Defense Enters,34.0
Unranked,,DORADO,Map Ties,2.0
Unranked,,Nepal,Map Wins,26.0
Unranked,,Nepal,Map Enters,52.0
Unranked,,Nepal,Game Leaves,2.0
Unranked,,Nepal,Map Ties,2.0
Unranked,,Route 66,Map Wins,45.0
Unranked,,Route 66,Map Enters,83.0
Unranked,,Route 66,Game Leaves,6.0
Unranked,,Route 66,Offense Wins,25.0
Unranked,,Route 66,Offense Enters,42.0
Unranked,,Route 66,Defense Wins,20.0
Unranked,,Route 66,Defense Enters,41.0
Unranked,,Route 66,Map Ties,6.0
Unranked,,Lijiang Tower,Map Wins,27.0
Unranked,,Lijiang Tower,Map Enters,52.0
Unranked,,Lijiang Tower,Game Leaves,1.0
Unranked,,Lijiang Tower,Map Ties,1.0
Unranked,,Ilios,Map Wins,32.0
Unranked,,Ilios,Map Enters,54.0
Unranked,,Ilios,Game Leaves,1.0
Unranked,,Ilios,Map Ties,1.0
Unranked,,Eichenwalde,Map Wins,27.0
Unranked,,Eichenwalde,Map Enters,69.0
Unranked,,Eichenwalde,Game Leaves,1.0
Unranked,,Eichenwalde,Map Ties,2.0
Unranked,,Oasis,Map Wins,27.0
Unranked,,Oasis,Map Enters,45.0
Unranked,,Oasis,Game Leaves,1.0
Unranked,,Oasis,Map Ties,1.0
Unranked,,Horizon Lunar Colony,Map Wins,58.0
Unranked,,Horizon Lunar Colony,Map Enters,90.0
